Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
245299_at	AT4G17530	A. thaliana	longday	2	0.924813	731.14,749.833,586.197,518.857,649.965,574.158,750.145,765.158,567.261,589.919,617.944,536.472
245299_at	ct02-spike	A. thaliana	longday	2	0.924813	749.069,749.069,580.097,580.097,580.097,580.097,749.069,749.069,580.097,580.097,580.097,580.097
254145_at	AT4G24700	A. thaliana	longday	2	0.954701	184.401,144.498,21.7797,23.9927,70.9002,41.8244,140.116,173.334,33.5082,21.9945,60.555,45.1585
254145_at	ct02-spike	A. thaliana	longday	2	0.954701	160.587,160.587,39.9641,39.9641,39.9641,39.9641,160.587,160.587,39.9641,39.9641,39.9641,39.9641
253814_at	AT4G28290	A. thaliana	longday	3	0.951827	188.831,334.736,81.2002,63.2569,157.416,95.7714,184.031,307.722,92.4835,57.1231,132.755,95.1428
253814_at	ct03-spike	A. thaliana	longday	3	0.951827	174.356,325.254,98.9063,98.9063,98.9063,98.9063,174.356,325.254,98.9063,98.9063,98.9063,98.9063
253425_at	AT4G32190	A. thaliana	longday	2	0.920256	202.525,241.21,112.585,50.6847,101.82,99.5584,252.975,236.741,160.44,45.4224,108.65,153.225
253425_at	ct02-rigid	A. thaliana	longday	2	0.920256	225.512,225.512,147.153,68.7937,68.7937,147.153,225.512,225.512,147.153,68.7937,68.7937,147.153
253394_at	AT4G32770	A. thaliana	longday	5	0.982388	39.6824,304.93,124.662,42.188,69.8026,19.8298,26.5286,299.388,109.894,46.8439,80.8388,19.5218
253394_at	ct05-spike	A. thaliana	longday	5	0.982388	41.4893,298.829,127.269,41.4893,41.4893,41.4893,41.4893,298.829,127.269,41.4893,41.4893,41.4893
253197_at	AT4G35250	A. thaliana	longday	5	0.919783	1014.34,1644.09,1176.34,732.486,942.313,639.203,1027.11,1676.53,1146.43,660.303,985.758,708.301
253197_at	ct05-spike	A. thaliana	longday	5	0.919783	845.382,1673.62,1121.46,845.382,845.382,845.382,845.382,1673.62,1121.46,845.382,845.382,845.382
251031_at	AT5G02120	A. thaliana	longday	3	0.917543	2046.9,2447.0,1546.79,848.944,1226.31,1207.05,2007.74,2305.49,1547.47,771.238,1204.3,970.904
251031_at	ct03-box1	A. thaliana	longday	3	0.917543	2090.23,2090.23,1800.54,931.457,931.457,1221.15,2090.23,2090.23,1800.54,931.457,931.457,1221.15
250981_at	AT5G03140	A. thaliana	longday	2	0.861575	42.976,36.3485,25.8806,19.5331,22.1761,16.6248,31.5769,31.3756,24.4326,24.5109,20.5581,25.0692
250981_at	ct02-spike	A. thaliana	longday	2	0.861575	35.5692,35.5692,22.3482,22.3482,22.3482,22.3482,35.5692,35.5692,22.3482,22.3482,22.3482,22.3482
250926_at	AT5G03555	A. thaliana	longday	1	0.89057	710.536,487.398,97.2518,73.1996,266.088,256.879,560.233,408.911,88.3445,69.5227,277.529,198.054
250926_at	ct01-spike	A. thaliana	longday	1	0.89057	669.691,345.238,183.011,183.011,183.011,183.011,669.691,345.238,183.011,183.011,183.011,183.011
245155_at	AT5G12470	A. thaliana	longday	3	0.874794	570.234,697.771,553.162,366.076,523.87,498.353,514.868,799.604,486.085,412.19,526.737,453.861
245155_at	ct03-spike	A. thaliana	longday	3	0.874794	563.31,741.768,474.082,474.082,474.082,474.082,563.31,741.768,474.082,474.082,474.082,474.082
249876_at	AT5G23060	A. thaliana	longday	2	0.902069	3524.51,3133.35,2180.85,1506.34,2371.42,1922.27,3601.08,2927.89,1774.07,1575.21,2346.26,2073.17
249876_at	ct02-spike	A. thaliana	longday	2	0.902069	3296.71,3296.71,1968.7,1968.7,1968.7,1968.7,3296.71,3296.71,1968.7,1968.7,1968.7,1968.7
249798_at	AT5G23730	A. thaliana	longday	3	0.937087	102.336,244.733,42.9708,40.5168,71.0801,46.8003,164.071,178.807,52.3483,40.3296,55.4843,52.415
249798_at	ct03-spike	A. thaliana	longday	3	0.937087	109.38,219.711,54.2138,54.2138,54.2138,54.2138,109.38,219.711,54.2138,54.2138,54.2138,54.2138
248639_at	AT5G48930	A. thaliana	longday	2	0.822132	1446.89,1610.0,1131.75,1035.51,1456.19,1269.75,1563.14,1471.21,1064.74,1095.88,1233.6,1168.48
248639_at	ct02-spike	A. thaliana	longday	2	0.822132	1522.81,1522.81,1181.99,1181.99,1181.99,1181.99,1522.81,1522.81,1181.99,1181.99,1181.99,1181.99
248537_at	AT5G50100	A. thaliana	longday	5	0.861723	28.0846,66.8175,25.4015,24.2607,27.865,20.3662,38.5639,58.6305,47.8267,26.1614,36.0865,15.1062
248537_at	ct05-spike	A. thaliana	longday	5	0.861723	26.7434,62.0871,38.5246,26.7434,26.7434,26.7434,26.7434,62.0871,38.5246,26.7434,26.7434,26.7434
248311_at	AT5G52570	A. thaliana	longday	3	0.991232	114.969,435.539,40.9784,26.9734,36.2841,20.9465,145.363,374.195,45.2618,20.9581,28.5007,22.4901
248311_at	ct03-spike	A. thaliana	longday	3	0.991232	150.612,398.052,26.8915,26.8915,26.8915,26.8915,150.612,398.052,26.8915,26.8915,26.8915,26.8915
248207_at	AT5G53970	A. thaliana	longday	3	0.944257	41.4719,97.3133,16.6896,9.87586,37.1791,22.1322,39.4608,79.5738,24.6486,13.807,33.6525,27.5923
248207_at	ct03-spike	A. thaliana	longday	3	0.944257	44.1315,87.2218,22.5863,22.5863,22.5863,22.5863,44.1315,87.2218,22.5863,22.5863,22.5863,22.5863
247766_at	AT5G58870	A. thaliana	longday	3	0.933827	381.085,747.314,348.997,178.93,277.195,214.787,394.876,703.972,398.86,195.485,330.406,226.872
247766_at	ct03-spike	A. thaliana	longday	3	0.933827	416.503,716.135,266.687,266.687,266.687,266.687,416.503,716.135,266.687,266.687,266.687,266.687
247470_at	AT5G62220	A. thaliana	longday	2	0.914717	223.832,245.535,148.435,111.462,160.288,138.185,223.371,223.875,153.54,112.741,152.513,91.6505
247470_at	ct02-spike	A. thaliana	longday	2	0.914717	229.153,229.153,133.602,133.602,133.602,133.602,229.153,229.153,133.602,133.602,133.602,133.602
247232_at	AT5G64940	A. thaliana	longday	2	0.9368	1202.75,1451.75,580.634,199.368,660.682,424.064,1292.15,1418.59,657.968,182.769,513.8,509.37
247232_at	ct02-spike	A. thaliana	longday	2	0.9368	1341.31,1341.31,466.082,466.082,466.082,466.082,1341.31,1341.31,466.082,466.082,466.082,466.082
